,id,seccion,agrupacion_ganadora,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_perc,HACEMOS POR NUESTRO PAIS_perc,JUNTOS POR EL CAMBIO_perc,LA LIBERTAD AVANZA_perc,UNION POR LA PATRIA_perc,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,HACEMOS POR NUESTRO PAIS_votos,JUNTOS POR EL CAMBIO_votos,LA LIBERTAD AVANZA_votos,UNION POR LA PATRIA_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos
310,LA PAMPA_LIHUEL CALEL,"Lihuel Calel, La Pampa",UNION POR LA PATRIA,1.6,6.38,22.34,32.45,37.23,3,12,42,61,70,69.85,272,190,0.0,0.0,1.05,0,0
311,LA PAMPA_LIMAY MAHUIDA,"Limay Mahuida, La Pampa",UNION POR LA PATRIA,0.0,1.83,11.01,32.11,55.05,0,2,12,35,60,28.57,385,110,0.91,0.0,0.0,1,0
312,LA PAMPA_LOVENTUE,"Loventue, La Pampa",UNION POR LA PATRIA,2.21,5.81,19.73,30.9,41.35,137,360,1222,1914,2561,77.14,8171,6303,0.98,0.06,0.68,62,4
313,LA PAMPA_MARACO,"Maraco, La Pampa",LA LIBERTAD AVANZA,2.6,8.17,22.41,36.35,30.47,1103,3467,9506,15417,12925,79.2,54710,43333,0.96,0.06,1.09,417,24
314,LA PAMPA_PUELEN,"Puelen, La Pampa",LA LIBERTAD AVANZA,1.7,8.26,15.72,45.6,28.73,118,573,1091,3165,1994,78.02,9080,7084,1.03,0.01,0.97,73,1
315,LA PAMPA_QUEMU QUEMU,"Quemu Quemu, La Pampa",LA LIBERTAD AVANZA,2.23,7.11,32.23,33.4,25.03,132,420,1905,1974,1479,76.96,7799,6002,0.67,0.03,0.83,40,2
316,LA PAMPA_RANCUL,"Rancul, La Pampa",UNION POR LA PATRIA,1.57,6.63,23.65,32.65,35.5,103,435,1551,2141,2328,68.89,9725,6700,1.09,0.04,0.99,73,3
317,LA PAMPA_REALICO,"Realico, La Pampa",LA LIBERTAD AVANZA,1.27,7.43,27.35,34.98,28.97,148,865,3185,4074,3374,77.93,15241,11878,0.85,0.06,1.04,101,7
318,LA PAMPA_TOAY,"Toay, La Pampa",UNION POR LA PATRIA,2.54,7.11,18.09,34.75,37.52,300,840,2138,4107,4435,80.41,14923,12000,0.66,0.01,0.83,79,1
319,LA PAMPA_TRENEL,"Trenel, La Pampa",UNION POR LA PATRIA,0.91,6.68,17.39,33.6,41.42,36,263,685,1323,1631,79.02,5057,3996,1.08,0.03,0.35,43,1
320,LA PAMPA_UTRACAN,"Utracan, La Pampa",LA LIBERTAD AVANZA,1.77,6.11,25.27,37.58,29.28,183,633,2619,3896,3035,73.96,14283,10563,0.97,0.05,0.85,102,5
321,LA RIOJA_ARAUCO,"Arauco, La Rioja",UNION POR LA PATRIA,0.59,5.17,8.63,41.18,44.43,60,524,875,4174,4503,79.17,13161,10419,1.84,0.08,0.8,192,8
322,LA RIOJA_CAPITAL,"Capital, La Rioja",LA LIBERTAD AVANZA,1.02,9.54,12.85,40.2,36.4,1324,12365,16661,52122,47197,80.73,163911,132333,1.22,0.05,0.75,1614,61
323,LA RIOJA_CASTRO BARROS,"Castro Barros, La Rioja",UNION POR LA PATRIA,0.62,5.06,10.34,28.2,55.78,26,211,431,1176,2326,82.34,5153,4243,1.13,0.07,0.52,48,3
324,LA RIOJA_CHAMICAL,"Chamical, La Rioja",UNION POR LA PATRIA,0.61,9.11,12.07,34.4,43.81,58,869,1152,3283,4181,76.89,12706,9770,1.48,0.04,0.8,145,4
325,LA RIOJA_CHILECITO,"Chilecito, La Rioja",LA LIBERTAD AVANZA,0.93,8.66,11.68,42.01,36.73,318,2960,3993,14366,12560,80.07,43967,35206,2.26,0.02,0.58,797,7
326,LA RIOJA_CORONEL FELIPE VARELA,"Coronel Felipe Varela, La Rioja",UNION POR LA PATRIA,0.93,5.53,9.49,32.6,51.45,67,399,685,2354,3715,81.66,9060,7398,2.05,0.01,0.34,152,1
327,LA RIOJA_FAMATINA,"Famatina, La Rioja",UNION POR LA PATRIA,1.06,6.39,12.93,30.07,49.55,46,278,563,1309,2157,81.71,5451,4454,1.48,0.02,0.76,66,1
328,LA RIOJA_GENERAL ANGEL V. PEÑALOZA,"General Angel V. Peñaloza, La Rioja",UNION POR LA PATRIA,0.59,3.75,7.51,28.72,59.43,12,77,154,589,1219,78.62,2671,2100,1.48,0.29,0.57,31,6
329,LA RIOJA_GENERAL BELGRANO,"General Belgrano, La Rioja",UNION POR LA PATRIA,0.45,9.88,13.49,33.01,43.16,22,482,658,1610,2105,74.05,6743,4993,1.38,0.04,0.9,69,2
330,LA RIOJA_GENERAL JUAN F. QUIROGA,"General Juan F. Quiroga, La Rioja",UNION POR LA PATRIA,1.05,9.23,10.86,29.13,49.73,27,237,279,748,1277,75.82,3491,2647,2.72,0.04,0.23,72,1
331,LA RIOJA_GENERAL LAMADRID,"General Lamadrid, La Rioja",UNION POR LA PATRIA,0.61,3.31,7.36,28.11,60.61,9,49,109,416,897,84.18,1782,1500,1.13,0.0,0.2,17,0
332,LA RIOJA_GENERAL OCAMPO,"General Ocampo, La Rioja",UNION POR LA PATRIA,0.65,5.71,6.87,23.58,63.2,33,291,350,1202,3222,77.46,6736,5218,1.86,0.06,0.38,97,3
333,LA RIOJA_GENERAL SAN MARTIN,"General San Martin, La Rioja",UNION POR LA PATRIA,0.8,5.97,10.1,25.24,57.89,25,186,315,787,1805,75.94,4210,3197,1.56,0.03,0.88,50,1
334,LA RIOJA_INDEPENDENCIA,"Independencia, La Rioja",UNION POR LA PATRIA,0.86,4.72,8.28,21.23,64.91,17,93,163,418,1278,79.58,2512,1999,1.2,0.0,0.3,24,0
335,LA RIOJA_ROSARIO VERA PEÑALOZA,"Rosario Vera Peñaloza, La Rioja",UNION POR LA PATRIA,0.98,8.17,8.6,27.61,54.64,92,764,805,2583,5112,69.49,13764,9565,1.42,0.07,0.69,136,7
336,LA RIOJA_SAN BLAS DE LOS SAUCES,"San Blas De Los Sauces, La Rioja",UNION POR LA PATRIA,0.92,4.37,13.26,31.37,50.07,26,123,373,882,1408,80.86,3543,2865,1.15,0.0,0.7,33,0
337,LA RIOJA_SANAGASTA,"Sanagasta, La Rioja",UNION POR LA PATRIA,0.73,6.67,8.17,28.5,55.93,19,174,213,743,1458,85.24,3097,2640,0.83,0.08,0.34,22,2
338,LA RIOJA_VINCHINA,"Vinchina, La Rioja",UNION POR LA PATRIA,0.45,5.49,11.09,26.83,56.14,8,97,196,474,992,74.09,2451,1816,2.26,0.22,0.22,41,4
339,MENDOZA_CAPITAL,"Capital, Mendoza",JUNTOS POR EL CAMBIO,3.4,3.34,38.44,33.88,20.94,2484,2437,28056,24730,15281,74.67,100435,74999,1.49,0.07,1.12,1118,55
340,MENDOZA_GENERAL ALVEAR,"General Alvear, Mendoza",LA LIBERTAD AVANZA,2.11,9.24,24.55,34.86,29.24,578,2535,6733,9559,8017,73.14,38556,28198,1.88,0.13,0.74,529,38
341,MENDOZA_GODOY CRUZ,"Godoy Cruz, Mendoza",LA LIBERTAD AVANZA,4.18,4.09,32.99,37.43,21.32,4913,4813,38811,44037,25080,75.84,159783,121180,1.57,0.07,1.27,1906,83
342,MENDOZA_GUAYMALLEN,"Guaymallen, Mendoza",LA LIBERTAD AVANZA,3.95,3.93,27.86,43.43,20.83,6953,6921,49054,76488,36683,76.76,236601,181624,1.54,0.08,1.43,2793,140
343,MENDOZA_JUNIN,"Junin, Mendoza",LA LIBERTAD AVANZA,3.62,4.42,25.1,46.09,20.76,1058,1292,7329,13458,6062,80.7,37416,30193,1.9,0.04,1.35,575,12
344,MENDOZA_LA PAZ,"La Paz, Mendoza",UNION POR LA PATRIA,0.87,1.99,25.01,27.18,44.95,64,146,1838,1997,3303,78.86,9470,7468,1.04,0.09,0.47,78,7
345,MENDOZA_LAS HERAS,"Las Heras, Mendoza",LA LIBERTAD AVANZA,4.09,4.22,23.22,42.16,26.31,5031,5188,28558,51855,32352,75.42,168630,127175,1.73,0.11,1.46,2194,134
346,MENDOZA_LAVALLE,"Lavalle, Mendoza",LA LIBERTAD AVANZA,3.19,3.61,14.8,41.54,36.86,854,968,3966,11129,9877,76.25,36296,27676,2.12,0.05,1.01,587,15
347,MENDOZA_LUJAN DE CUYO,"Lujan De Cuyo, Mendoza",LA LIBERTAD AVANZA,3.45,3.89,29.44,44.45,18.77,3040,3433,25965,39208,16552,78.56,115929,91074,1.61,0.09,1.46,1466,81
348,MENDOZA_MAIPU,"Maipu, Mendoza",LA LIBERTAD AVANZA,3.9,4.22,22.3,46.69,22.9,4560,4943,26099,54651,26806,78.48,153852,120736,1.53,0.04,1.47,1852,52
349,MENDOZA_MALARGÜE,"Malargüe, Mendoza",LA LIBERTAD AVANZA,2.16,7.21,18.81,40.55,31.26,376,1255,3273,7054,5438,70.91,25331,17962,1.95,0.04,1.15,351,8
350,MENDOZA_RIVADAVIA,"Rivadavia, Mendoza",LA LIBERTAD AVANZA,3.12,3.97,23.27,44.04,25.6,1101,1399,8200,15521,9020,78.87,46163,36408,1.86,0.05,1.29,678,19
351,MENDOZA_SAN CARLOS,"San Carlos, Mendoza",LA LIBERTAD AVANZA,3.07,4.31,19.22,51.05,22.36,683,959,4279,11368,4978,79.23,28880,22881,1.55,0.02,1.11,354,5
352,MENDOZA_SAN MARTIN,"San Martin, Mendoza",LA LIBERTAD AVANZA,3.37,4.29,25.94,40.45,25.94,2400,3057,18483,28821,18482,75.88,97428,73931,2.15,0.08,1.4,1593,58
353,MENDOZA_SAN RAFAEL,"San Rafael, Mendoza",LA LIBERTAD AVANZA,2.36,5.3,21.66,43.48,27.19,2612,5859,23921,48032,30040,74.0,153789,113806,1.47,0.06,1.41,1671,67
354,MENDOZA_SANTA ROSA,"Santa Rosa, Mendoza",UNION POR LA PATRIA,2.12,2.98,17.37,36.04,41.49,247,347,2021,4194,4829,80.37,14834,11922,1.39,0.06,0.93,166,7
355,MENDOZA_TUNUYAN,"Tunuyan, Mendoza",LA LIBERTAD AVANZA,3.06,4.48,18.83,47.93,25.71,1008,1478,6210,15808,8480,77.68,43537,33819,1.55,0.03,0.89,524,10
356,MENDOZA_TUPUNGATO,"Tupungato, Mendoza",LA LIBERTAD AVANZA,2.89,4.39,17.41,54.21,21.1,610,928,3679,11457,4460,77.8,27958,21752,1.96,0.04,0.84,427,8
357,MISIONES_25 DE MAYO,"25 De Mayo, Misiones",UNION POR LA PATRIA,0.98,2.64,7.97,37.49,50.92,172,464,1399,6579,8936,70.54,26247,18514,5.11,0.01,0.09,946,1
358,MISIONES_APOSTOLES,"Apostoles, Misiones",LA LIBERTAD AVANZA,1.31,3.85,16.72,40.43,37.69,374,1099,4774,11542,10761,78.89,37200,29346,2.05,0.05,0.61,602,15
359,MISIONES_CAINGUAS,"Cainguas, Misiones",LA LIBERTAD AVANZA,1.18,3.93,8.78,44.7,41.4,406,1356,3028,15416,14278,76.94,47081,36225,4.43,0.01,0.36,1604,5
360,MISIONES_CANDELARIA,"Candelaria, Misiones",UNION POR LA PATRIA,1.22,3.89,13.95,37.88,43.06,266,846,3033,8236,9362,76.18,29370,22373,2.17,0.05,0.6,485,11
361,MISIONES_CAPITAL,"Capital, Misiones",LA LIBERTAD AVANZA,1.42,4.85,20.56,40.93,32.24,3108,10642,45084,89756,70709,76.07,296496,225555,1.99,0.08,0.7,4494,183
362,MISIONES_CONCEPCION,"Concepcion, Misiones",UNION POR LA PATRIA,0.96,3.52,24.56,28.98,42.0,56,206,1439,1698,2461,74.89,8072,6045,2.71,0.0,0.35,164,0
363,MISIONES_ELDORADO,"Eldorado, Misiones",LA LIBERTAD AVANZA,2.62,4.53,11.59,42.68,38.58,1354,2339,5991,22055,19934,76.68,69540,53325,2.37,0.07,0.66,1262,37
364,MISIONES_GENERAL MANUEL BELGRANO,"General Manuel Belgrano, Misiones",LA LIBERTAD AVANZA,1.27,3.35,8.26,47.24,39.88,330,873,2151,12297,10382,71.77,37647,27021,3.13,0.02,0.5,847,6
365,MISIONES_GUARANI,"Guarani, Misiones",LA LIBERTAD AVANZA,1.09,3.25,8.23,44.29,43.14,451,1344,3399,18292,17819,72.5,61046,44258,6.13,0.02,0.52,2714,11
366,MISIONES_IGUAZU,"Iguazu, Misiones",LA LIBERTAD AVANZA,1.37,4.11,13.05,46.51,34.97,761,2287,7268,25901,19478,73.68,77611,57183,1.92,0.06,0.62,1098,37
367,MISIONES_LEANDRO N. ALEM,"Leandro N. Alem, Misiones",LA LIBERTAD AVANZA,1.03,4.13,13.56,45.55,35.73,331,1323,4343,14587,11443,80.26,41624,33409,3.55,0.07,0.52,1187,22
368,MISIONES_LIBERTADOR GENERAL SAN MARTIN,"Libertador General San Martin, Misiones",LA LIBERTAD AVANZA,1.06,3.91,12.31,45.57,37.16,329,1218,3837,14202,11580,77.91,41274,32157,2.48,0.04,0.56,796,14
369,MISIONES_MONTECARLO,"Montecarlo, Misiones",LA LIBERTAD AVANZA,1.6,4.51,11.24,41.47,41.18,362,1019,2542,9374,9310,76.7,30117,23101,1.53,0.05,0.56,354,11
370,MISIONES_OBERA,"Obera, Misiones",LA LIBERTAD AVANZA,1.24,3.83,13.07,42.95,38.91,867,2671,9123,29977,27163,77.09,93381,71987,2.52,0.02,0.49,1817,17
371,MISIONES_SAN IGNACIO,"San Ignacio, Misiones",UNION POR LA PATRIA,0.97,3.5,12.52,39.61,43.4,357,1290,4621,14618,16015,76.15,49830,37947,2.27,0.06,0.42,862,23
372,MISIONES_SAN JAVIER,"San Javier, Misiones",UNION POR LA PATRIA,1.03,2.75,13.06,37.5,45.67,140,375,1781,5116,6230,76.05,18653,14186,3.26,0.07,0.5,463,10
373,MISIONES_SAN PEDRO,"San Pedro, Misiones",UNION POR LA PATRIA,2.17,3.58,5.68,34.9,53.67,372,614,974,5983,9201,75.12,24015,18039,4.85,0.02,0.09,875,3
374,NEUQUEN_ALUMINE,"Alumine, Neuquen",UNION POR LA PATRIA,4.46,7.19,17.15,31.76,39.45,274,442,1054,1952,2425,77.17,8566,6610,5.1,0.15,1.75,337,10
375,NEUQUEN_AÑELO,"Añelo, Neuquen",LA LIBERTAD AVANZA,2.58,3.88,9.19,48.96,35.39,291,437,1035,5513,3985,74.6,15809,11794,2.81,0.19,1.53,331,22
376,NEUQUEN_CATAN LIL,"Catan Lil, Neuquen",UNION POR LA PATRIA,4.77,7.63,12.49,17.45,57.67,50,80,131,183,605,72.55,1610,1168,9.5,0.0,0.68,111,0
377,NEUQUEN_CHOS MALAL,"Chos Malal, Neuquen",UNION POR LA PATRIA,4.08,7.53,22.02,30.44,35.92,404,745,2178,3011,3553,75.09,13976,10494,4.38,0.08,1.29,460,8
378,NEUQUEN_COLLON CURA,"Collon Cura, Neuquen",UNION POR LA PATRIA,3.1,8.56,17.43,32.46,38.45,88,243,495,922,1092,75.57,4032,3047,5.28,0.03,1.48,161,1
379,NEUQUEN_CONFLUENCIA,"Confluencia, Neuquen",LA LIBERTAD AVANZA,5.47,5.7,20.84,36.66,31.33,15565,16202,59268,104272,89099,81.64,361411,295073,1.99,0.11,1.51,5871,330
380,NEUQUEN_HUILICHES,"Huiliches, Neuquen",UNION POR LA PATRIA,5.11,7.14,20.54,30.34,36.87,585,817,2352,3474,4222,79.01,15405,12171,4.09,0.04,1.79,498,5
381,NEUQUEN_LACAR,"Lacar, Neuquen",LA LIBERTAD AVANZA,5.26,6.27,28.2,34.58,25.69,1245,1484,6674,8185,6080,74.24,33316,24734,2.15,0.06,2.09,533,15
382,NEUQUEN_LONCOPUE,"Loncopue, Neuquen",UNION POR LA PATRIA,3.34,7.44,14.84,32.77,41.61,148,330,658,1453,1845,82.57,5927,4894,7.62,0.12,1.66,373,6
383,NEUQUEN_LOS LAGOS,"Los Lagos, Neuquen",LA LIBERTAD AVANZA,4.55,6.91,27.52,35.66,25.36,414,629,2504,3244,2307,71.14,13610,9682,4.68,0.14,1.21,453,14
384,NEUQUEN_MINAS,"Minas, Neuquen",UNION POR LA PATRIA,4.82,8.19,17.5,30.6,38.89,248,421,900,1574,2000,78.4,7430,5825,9.41,0.09,2.21,548,5
385,NEUQUEN_PEHUENCHES,"Pehuenches, Neuquen",LA LIBERTAD AVANZA,2.2,6.04,10.67,49.98,31.11,361,991,1751,8203,5106,76.0,22729,17274,3.53,0.01,1.45,610,2
386,NEUQUEN_PICUN LEUFU,"Picun Leufu, Neuquen",UNION POR LA PATRIA,3.98,7.05,11.99,32.01,44.97,123,218,371,990,1391,75.33,4358,3283,4.02,0.09,1.68,132,3
387,NEUQUEN_PICUNCHES,"Picunches, Neuquen",LA LIBERTAD AVANZA,2.28,5.28,24.93,39.6,27.9,106,245,1157,1838,1295,78.26,6358,4976,5.33,0.02,1.39,265,1
388,NEUQUEN_ZAPALA,"Zapala, Neuquen",LA LIBERTAD AVANZA,4.58,6.59,22.3,36.58,29.95,1214,1747,5909,9694,7938,80.33,34653,27836,3.2,0.02,1.57,890,6
389,NEUQUEN_ÑORQUIN,"Ñorquin, Neuquen",UNION POR LA PATRIA,3.76,5.66,15.08,27.27,48.23,122,184,490,886,1567,74.36,4887,3634,9.49,0.03,1.07,345,1
390,RIO NEGRO_25 DE MAYO,"25 De Mayo, Rio Negro",UNION POR LA PATRIA,2.85,4.27,14.06,26.96,51.85,231,346,1139,2184,4200,71.09,12881,9157,10.08,0.19,1.28,923,17
391,RIO NEGRO_9 DE JULIO,"9 De Julio, Rio Negro",UNION POR LA PATRIA,1.43,3.54,9.27,26.53,59.23,30,74,194,555,1239,76.52,3216,2461,13.65,0.49,0.85,336,12
392,RIO NEGRO_ADOLFO ALSINA,"Adolfo Alsina, Rio Negro",UNION POR LA PATRIA,3.56,6.3,20.66,31.53,37.95,1517,2680,8797,13423,16156,76.18,58223,44357,2.2,0.49,1.33,977,219
393,RIO NEGRO_AVELLANEDA,"Avellaneda, Rio Negro",UNION POR LA PATRIA,2.59,5.73,15.92,36.55,39.21,619,1366,3799,8719,9353,78.66,31927,25115,3.31,0.26,1.44,831,66
394,RIO NEGRO_BARILOCHE,"Bariloche, Rio Negro",UNION POR LA PATRIA,5.24,8.17,19.94,27.13,39.52,4859,7577,18494,25169,36657,74.26,129508,96177,2.07,0.08,1.41,1990,76
395,RIO NEGRO_CONESA,"Conesa, Rio Negro",LA LIBERTAD AVANZA,2.55,5.26,16.85,38.61,36.74,104,214,686,1572,1496,71.77,5869,4212,2.09,0.19,1.04,88,8
396,RIO NEGRO_EL CUY,"El Cuy, Rio Negro",UNION POR LA PATRIA,5.16,4.27,11.48,30.3,48.78,121,100,269,710,1143,71.61,3459,2477,3.19,0.2,2.02,79,5
397,RIO NEGRO_GENERAL ROCA,"General Roca, Rio Negro",LA LIBERTAD AVANZA,4.0,5.53,17.45,37.23,35.79,8944,12365,38998,83233,80004,79.57,293624,233642,2.67,0.15,1.51,6241,340
398,RIO NEGRO_PICHI MAHUIDA,"Pichi Mahuida, Rio Negro",UNION POR LA PATRIA,2.84,6.74,21.06,34.38,34.97,268,635,1985,3240,3296,74.97,13054,9787,2.35,0.17,1.19,230,17
399,RIO NEGRO_PILCANIYEU,"Pilcaniyeu, Rio Negro",UNION POR LA PATRIA,3.82,6.55,19.32,25.7,44.61,236,404,1192,1586,2753,74.99,8626,6469,3.22,0.12,1.27,208,8
400,RIO NEGRO_SAN ANTONIO,"San Antonio, Rio Negro",UNION POR LA PATRIA,3.08,7.57,17.31,33.07,38.97,632,1553,3551,6783,7995,72.3,30021,21706,4.22,0.06,1.21,917,12
401,RIO NEGRO_VALCHETA,"Valcheta, Rio Negro",UNION POR LA PATRIA,2.77,4.82,15.88,28.06,48.47,74,129,425,751,1297,67.73,4131,2798,1.64,0.25,2.47,46,7
402,RIO NEGRO_ÑORQUINCO,"Ñorquinco, Rio Negro",UNION POR LA PATRIA,1.77,4.93,10.11,14.16,69.03,14,39,80,112,546,59.9,1429,856,6.66,0.0,0.93,57,0
403,SALTA_ANTA,"Anta, Salta",UNION POR LA PATRIA,0.75,3.4,11.67,35.09,49.09,253,1148,3945,11863,16596,65.79,52546,34568,1.46,0.14,0.61,505,48
404,SALTA_CACHI,"Cachi, Salta",LA LIBERTAD AVANZA,1.75,4.2,14.14,41.69,38.23,94,226,761,2244,2058,73.22,7561,5536,2.06,0.04,0.67,114,2
405,SALTA_CAFAYATE,"Cafayate, Salta",UNION POR LA PATRIA,1.87,9.21,11.89,37.17,39.85,189,929,1199,3748,4018,71.46,14459,10332,1.66,0.1,0.66,171,10
406,SALTA_CAPITAL,"Capital, Salta",LA LIBERTAD AVANZA,2.41,7.88,17.2,43.79,28.72,8091,26430,57663,146818,96286,76.24,451114,343909,1.12,0.2,1.18,3860,694
407,SALTA_CERRILLOS,"Cerrillos, Salta",LA LIBERTAD AVANZA,1.84,6.49,13.37,46.63,31.67,593,2091,4304,15011,10195,76.98,42606,32800,0.89,0.16,0.8,293,51
408,SALTA_CHICOANA,"Chicoana, Salta",LA LIBERTAD AVANZA,1.35,5.48,13.79,47.33,32.05,193,782,1968,6755,4574,74.66,19493,14554,1.14,0.15,0.65,166,22
409,SALTA_GENERAL GUEMES,"General Guemes, Salta",UNION POR LA PATRIA,1.63,5.3,11.36,40.36,41.35,514,1671,3580,12719,13032,76.04,42186,32079,0.83,0.19,0.73,267,61
410,SALTA_GENERAL JOSE DE SAN MARTIN,"General Jose De San Martin, Salta",UNION POR LA PATRIA,0.99,3.37,8.96,31.93,54.75,907,3095,8236,29339,50297,66.54,140473,93471,0.84,0.16,0.71,786,151
411,SALTA_GUACHIPAS,"Guachipas, Salta",LA LIBERTAD AVANZA,0.88,3.72,13.45,43.36,38.6,21,89,322,1038,924,73.35,3351,2458,1.83,0.24,0.53,45,6
412,SALTA_IRUYA,"Iruya, Salta",UNION POR LA PATRIA,0.16,2.24,3.2,37.04,57.36,2,28,40,463,717,25.63,4991,1279,2.03,0.08,0.16,26,1
413,SALTA_LA CALDERA,"La Caldera, Salta",LA LIBERTAD AVANZA,1.89,6.03,19.3,43.14,29.63,215,685,2191,4897,3363,72.17,15973,11528,0.71,0.23,0.59,82,27
414,SALTA_LA CANDELARIA,"La Candelaria, Salta",UNION POR LA PATRIA,0.83,4.22,9.9,37.74,47.3,32,162,380,1449,1816,67.96,5755,3911,0.84,0.18,0.82,33,7
415,SALTA_LA POMA,"La Poma, Salta",UNION POR LA PATRIA,1.03,4.48,5.88,33.71,54.9,11,48,63,361,588,73.58,1495,1100,2.18,0.09,0.36,24,1
416,SALTA_LA VIÑA,"La Viña, Salta",LA LIBERTAD AVANZA,0.75,5.08,11.49,43.22,39.47,41,278,628,2363,2158,68.33,8130,5555,0.7,0.16,0.7,39,9
417,SALTA_LOS ANDES,"Los Andes, Salta",LA LIBERTAD AVANZA,2.1,5.76,7.02,43.22,41.9,87,239,291,1792,1737,64.03,6628,4244,1.48,0.07,0.75,63,3
418,SALTA_METAN,"Metan, Salta",UNION POR LA PATRIA,1.2,7.66,13.23,36.94,40.97,305,1945,3358,9378,10400,70.98,36396,25834,0.84,0.14,0.75,218,36
419,SALTA_MOLINOS,"Molinos, Salta",UNION POR LA PATRIA,0.49,2.35,9.0,39.46,48.69,18,86,329,1442,1779,73.98,5050,3736,1.74,0.11,0.35,65,4
420,SALTA_ORAN,"Oran, Salta",UNION POR LA PATRIA,1.36,5.18,11.35,40.36,41.75,1128,4287,9393,33405,34550,68.51,123279,84464,1.12,0.15,0.74,950,128
