id,seccion,agrupacion_ganadora,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_perc,FRENTE LIBER.AR_perc,FRENTE PATRIOTA FEDERAL_perc,HACEMOS POR NUESTRO PAIS_perc,JUNTOS POR EL CAMBIO_perc,LA LIBERTAD AVANZA_perc,MOVIMIENTO AL SOCIALISMO_perc,MOVIMIENTO DE ACCION VECINAL_perc,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD_perc,MOVIMIENTO LIBRES DEL SUR_perc,POLITICA OBRERA_perc,PRINCIPIOS Y VALORES_perc,PROYECTO JOVEN_perc,UNION DEL CENTRO DEMOCRATICO_perc,UNION POR LA PATRIA_perc,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_votos,FRENTE LIBER.AR_votos,FRENTE PATRIOTA FEDERAL_votos,HACEMOS POR NUESTRO PAIS_votos,JUNTOS POR EL CAMBIO_votos,LA LIBERTAD AVANZA_votos,MOVIMIENTO AL SOCIALISMO_votos,MOVIMIENTO DE ACCION VECINAL_votos,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD_votos,MOVIMIENTO LIBRES DEL SUR_votos,POLITICA OBRERA_votos,PRINCIPIOS Y VALORES_votos,PROYECTO JOVEN_votos,UNION DEL CENTRO DEMOCRATICO_votos,UNION POR LA PATRIA_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,distrito
CHACO_12 DE OCTUBRE,"12 De Octubre, Chaco",UNION POR LA PATRIA,0.74,0.0,0.25,1.5,25.62,29.67,0.27,0.11,0.43,0.23,0.24,0.91,0.0,0.0,40.01,91,0,31,184,3139,3635,33,14,53,28,30,111,0,0,4902,61.67,20599,12703,3.0,0.05,0.51,381,6,CHACO
CHACO_1Â° DE MAYO,"1Deg De Mayo, Chaco",UNION POR LA PATRIA,0.66,0.14,0.11,0.94,28.83,28.0,0.39,0.18,0.14,0.4,0.22,0.75,0.0,0.0,39.26,58,12,10,83,2541,2468,34,16,12,35,19,66,0,0,3461,69.89,13067,9133,2.86,0.11,0.51,261,10,CHACO
CHACO_2 DE ABRIL,"2 De Abril, Chaco",LA LIBERTAD AVANZA,0.53,0.0,0.22,1.47,25.87,36.38,0.22,0.12,0.24,0.1,0.1,1.21,0.0,0.0,33.55,22,0,9,61,1071,1506,9,5,10,4,4,50,0,0,1389,66.13,6540,4325,3.77,0.07,0.44,163,3,CHACO
CHACO_25 DE MAYO,"25 De Mayo, Chaco",UNION POR LA PATRIA,1.43,0.0,0.34,1.36,24.31,23.54,0.39,0.26,0.43,0.54,0.36,0.51,0.0,0.0,46.52,235,0,56,224,4002,3875,65,43,70,89,60,84,0,0,7657,63.63,27045,17209,3.84,0.13,0.39,660,22,CHACO
CHACO_9 DE JULIO,"9 De Julio, Chaco",UNION POR LA PATRIA,0.45,0.18,0.25,1.82,26.43,32.88,0.34,0.22,0.21,1.07,0.27,0.43,0.0,0.05,35.39,61,24,34,245,3554,4422,46,29,28,144,36,58,0,7,4759,53.75,26143,14052,3.56,0.1,0.65,500,14,CHACO
CHACO_ALMIRANTE BROWN,"Almirante Brown, Chaco",UNION POR LA PATRIA,0.42,0.0,0.12,0.69,23.73,26.34,0.2,0.07,0.25,0.13,0.28,0.21,0.02,0.0,47.52,75,0,22,123,4220,4684,36,13,45,23,49,38,3,0,8450,57.66,32455,18715,2.92,1.61,0.45,547,302,CHACO
CHACO_BERMEJO,"Bermejo, Chaco",UNION POR LA PATRIA,0.95,0.01,0.22,0.93,27.87,14.98,0.25,0.13,0.32,0.63,0.22,0.46,0.36,0.0,52.67,153,1,36,150,4497,2417,41,21,51,101,35,74,58,0,8498,67.78,25486,17275,6.01,0.05,0.55,1039,8,CHACO
CHACO_CHACABUCO,"Chacabuco, Chaco",LA LIBERTAD AVANZA,0.91,0.03,0.29,2.41,32.78,33.52,0.31,0.15,0.51,0.52,0.3,0.59,0.0,0.0,27.69,155,5,50,410,5578,5704,52,25,86,89,51,101,0,0,4712,61.74,28903,17845,3.91,0.07,0.66,698,12,CHACO
CHACO_COMANDANTE FERNANDEZ,"Comandante Fernandez, Chaco",LA LIBERTAD AVANZA,1.96,0.07,0.27,2.23,33.65,35.0,0.44,0.22,0.6,0.47,0.41,0.68,0.01,0.0,23.99,1006,36,137,1143,17269,17963,226,111,306,243,212,350,4,1,12313,61.34,88316,54176,4.3,0.04,0.93,2330,23,CHACO
CHACO_FRAY JUSTO SANTA MARIA DE ORO,"Fray Justo Santa Maria De Oro, Chaco",UNION POR LA PATRIA,0.36,0.0,0.13,0.82,30.06,29.36,0.16,0.05,0.13,0.05,0.42,0.44,0.0,0.0,38.02,22,0,8,50,1843,1800,10,3,8,3,26,27,0,0,2331,61.05,10374,6333,2.87,0.0,0.32,182,0,CHACO
CHACO_GENERAL BELGRANO,"General Belgrano, Chaco",UNION POR LA PATRIA,0.42,0.0,0.2,0.72,17.58,26.57,0.38,0.2,0.29,0.82,0.2,0.42,0.0,0.0,52.21,26,0,12,44,1076,1626,23,12,18,50,12,26,0,0,3195,57.16,11031,6305,2.62,0.0,0.32,165,0,CHACO
CHACO_GENERAL DONOVAN,"General Donovan, Chaco",UNION POR LA PATRIA,0.85,0.01,0.29,1.14,23.75,28.37,0.46,0.17,0.25,0.29,0.25,0.59,0.27,0.02,43.31,76,1,26,102,2131,2545,41,15,22,26,22,53,24,2,3886,73.13,13683,10007,9.66,0.04,0.64,967,4,CHACO
CHACO_GENERAL GUEMES,"General Guemes, Chaco",UNION POR LA PATRIA,1.15,0.07,0.19,0.96,24.13,22.72,0.26,0.1,0.22,0.17,0.26,0.39,0.0,0.0,49.38,441,26,75,370,9290,8748,99,40,83,67,102,149,0,0,19013,53.41,75661,40411,3.81,0.22,0.69,1541,89,CHACO
CHACO_INDEPENDENCIA,"Independencia, Chaco",UNION POR LA PATRIA,1.03,0.0,0.23,0.9,20.26,27.37,0.37,0.24,0.32,0.71,0.35,0.48,0.0,0.02,47.72,110,0,25,96,2163,2923,39,26,34,76,37,51,0,2,5096,54.4,20467,11135,3.47,0.1,0.54,386,11,CHACO
CHACO_LIBERTAD,"Libertad, Chaco",UNION POR LA PATRIA,1.25,0.0,0.25,0.95,27.05,30.03,0.42,0.15,0.4,0.92,0.27,1.17,0.0,0.01,37.15,108,0,22,82,2344,2602,36,13,35,80,23,101,0,1,3219,69.73,12960,9037,3.62,0.04,0.44,327,4,CHACO
CHACO_LIBERTADOR GENERAL SAN MARTIN,"Libertador General San Martin, Chaco",UNION POR LA PATRIA,2.2,0.01,0.24,0.87,23.94,22.66,0.31,0.17,0.27,1.3,0.29,0.41,0.01,0.0,47.34,776,3,84,306,8450,7999,108,59,97,459,102,145,2,0,16712,65.69,55813,36666,2.96,0.1,0.66,1087,36,CHACO
CHACO_MAIPU,"Maipu, Chaco",UNION POR LA PATRIA,1.87,0.0,0.24,1.01,24.16,28.9,0.55,0.22,0.26,0.28,0.41,0.49,0.01,0.0,41.59,219,0,28,118,2833,3389,65,26,31,33,48,58,1,0,4877,55.07,22351,12308,4.27,0.07,0.38,526,9,CHACO
CHACO_MAYOR LUIS J. FONTANA,"Mayor Luis J. Fontana, Chaco",UNION POR LA PATRIA,1.12,0.0,0.52,3.69,26.61,31.86,0.79,0.33,0.5,0.78,0.46,0.73,0.0,0.0,32.59,331,0,154,1089,7852,9402,234,97,149,231,136,214,1,1,9616,60.44,53002,32036,6.45,0.56,0.89,2066,179,CHACO
CHACO_O'HIGGINS,"O'Higgins, Chaco",UNION POR LA PATRIA,0.42,0.0,0.19,1.81,19.25,23.86,0.3,0.28,0.24,0.68,0.21,0.38,0.0,0.0,52.37,46,0,21,198,2107,2611,33,31,26,74,23,42,0,0,5731,61.06,18993,11597,5.24,0.01,0.39,608,1,CHACO
CHACO_PRESIDENCIA DE LA PLAZA,"Presidencia De La Plaza, Chaco",UNION POR LA PATRIA,1.42,0.0,0.22,0.76,24.26,26.05,0.28,0.08,0.45,3.09,0.25,0.42,0.0,0.0,42.73,92,0,14,49,1571,1687,18,5,29,200,16,27,0,0,2767,60.89,11318,6892,5.08,0.09,0.89,350,6,CHACO
CHACO_QUITILIPI,"Quitilipi, Chaco",UNION POR LA PATRIA,0.75,0.0,0.35,2.31,28.59,32.28,0.51,0.21,0.36,0.97,0.45,0.5,0.1,0.01,32.61,116,0,54,357,4421,4993,79,33,55,150,69,78,16,1,5044,54.13,30056,16268,4.09,0.34,0.5,665,55,CHACO
CHACO_SAN FERNANDO,"San Fernando, Chaco",LA LIBERTAD AVANZA,1.46,0.02,0.23,1.36,29.56,34.12,0.46,0.24,0.4,1.65,0.38,0.96,0.01,0.0,29.15,3382,43,542,3165,68685,79288,1062,553,935,3840,872,2237,20,6,67718,66.94,364472,243975,3.51,0.13,1.13,8571,306,CHACO
CHACO_SAN LORENZO,"San Lorenzo, Chaco",UNION POR LA PATRIA,0.55,0.52,0.13,0.79,19.31,21.13,0.36,0.11,0.25,0.68,0.24,0.52,0.0,0.0,55.41,45,43,11,65,1593,1743,30,9,21,56,20,43,0,0,4571,62.37,13895,8666,4.43,0.03,0.33,384,3,CHACO
CHACO_SARGENTO CABRAL,"Sargento Cabral, Chaco",UNION POR LA PATRIA,0.46,0.55,0.22,0.96,26.86,20.38,0.13,0.07,0.52,0.31,0.26,0.39,0.0,0.0,48.91,49,59,24,103,2891,2193,14,7,56,33,28,42,0,0,5264,69.74,15990,11151,2.9,0.09,0.49,323,10,CHACO
CHACO_TAPENAGA,"Tapenaga, Chaco",UNION POR LA PATRIA,0.71,0.0,0.24,0.76,28.33,17.75,0.19,0.24,0.19,0.33,0.14,0.33,0.0,0.0,50.8,15,0,5,16,600,376,4,5,4,7,3,7,0,0,1076,67.11,3290,2208,3.49,0.14,0.45,77,3,CHACO
